Bronnoy;Bronnoysund;Norway;BNN;ENBN;65.461111;12.2175;1;E
Bodo;Bodo;Norway;BOO;ENBO;67.269167;14.365278;1;E
Flesland;Bergen;Norway;BGO;ENBR;60.293386;5.218142;1;E
Batsfjord;Batsfjord;Norway;BJF;ENBS;70.600278;29.6925;1;E
Bardufoss;Bardufoss;Norway;BDU;ENDU;69.055758;18.540356;1;E
Arvidsjaur;Arvidsjaur;Sweden;AJR;ESNX;65.590278;19.281944;1;E
Arlanda;Stockholm;Sweden;ARN;ESSA;59.651944;17.918611;1;E
Bromma;Stockholm;Sweden;BMA;ESSB;59.354372;17.94165;1;E
Borlange;Borlange;Sweden;BLE;ESSD;60.422017;15.515211;1;E
Ängelholm-Helsingborg Airport;Ängelholm;Sweden;AGH;ESTA;56.2961;12.8471;1;E
Alexander Bay;Alexander Bay;South Africa;ALJ;FAAB;-28.575001;16.533333;2;U
Aggeneys;Aggeneys;South Africa;AGZ;FAAG;-29.281767;18.813869;2;U
Alldays Airport;Alldays;South Africa;ADY;FAAL;-22.678889;29.055278;2;U
Bhisho;Bisho;South Africa;BIY;FABE;-32.89715;27.279111;2;U
Bloemfontein Intl;Bloemfontein;South Africa;BFN;FABL;-29.092722;26.302444;2;U
Malamala Airport;Malamala;South Africa;AAM;FAMD;-24.818111;31.544584;2;U
Kasane;Kasane;Botswana;BBK;FBKE;-17.832875;25.1624;2;U
Bangui M Poko;Bangui;Central African Republic;BGF;FEFF;4.398475;18.518786;1;N
Berberati;Berberati;Central African Republic;BBT;FEFT;4.221583;15.786369;1;N
Bata;Bata;Equatorial Guinea;BSG;FGBT;1.905469;9.805681;1;N
Bafoussam;Bafoussam;Cameroon;BFX;FKKU;5.536919;10.354583;1;N
Bamenda;Bamenda;Cameroon;BPC;FKKV;6.039239;10.122639;1;N
Ouani;Anjouan;Comoros;AJN;FMCV;-12.131667;44.430279;3;U
Antsirabe;Antsirabe;Madagascar;ATJ;FMME;-19.836944;47.065278;3;U
Belo sur Tsiribihina Airport;Belo sur Tsiribihina;Madagascar;BMD;FMML;-19.6867;44.5419;3;U
Ambilobe;Ambilobe;Madagascar;AMB;FMNE;-13.188431;48.987978;3;U
Antsirabato;Antalaha;Madagascar;ANM;FMNH;-14.999411;50.320233;3;U
Besalampy;Besalampy;Madagascar;BPY;FMNQ;-16.741945;44.481388;3;U
Benguela;Benguela;Angola;BUG;FNBG;-12.609025;13.403711;1;N
Bitam;Bitam;Gabon;BMM;FOOB;2.075639;11.493195;1;N
Beira;Beira;Mozambique;BEW;FQBR;-19.796419;34.907556;2;U
Nampula;Nampula;Mozambique;APL;FQNP;-15.105611;39.2818;2;U
Bird Island Airport;Bird Island;Seychelles;BDI;FSSB;-3.721389;55.208611;4;U
Abeche;Abeche;Chad;AEH;FTTC;13.847;20.844333;1;N
Am Timan Airport;Am Timan;Chad;AMC;FTTN;11.034;20.274;1;U
J M Nkomo Intl;Bulawayo;Zimbabwe;BUQ;FVBU;-20.017431;28.617869;2;U
Buffalo Range;Chiredzi;Zimbabwe;BFO;FVCZ;-21.008083;31.57855;2;U
Chileka Intl;Blantyre;Malawi;BLZ;FWCL;-15.679053;34.974014;2;U
Boma Airport;Boma;Congo (Kinshasa);BOA;FZAJ;-5.854;13.064;1;N
Basankusu Airport;Basankusu;Congo (Kinshasa);BSU;FZEN;1.22472;19.7889;1;N
Gbadolite;Gbadolite;Congo (Kinshasa);BDT;FZFD;4.253206;20.975283;1;N
Bunia;Bunia;Congo (Kinshasa);BUX;FZKA;1.565719;30.220833;2;U
Bukavu Kavumu;Bukavu/kavumu;Congo (Kinshasa);BKY;FZMA;-2.308978;28.808803;2;U
Senou;Bamako;Mali;BKO;GABS;12.533544;-7.949944;0;N
Banjul Intl;Banjul;Gambia;BJL;GBYD;13.337961;-16.652206;0;N
Lanzarote;Las Palmas;Spain;ACE;GCRR;28.945464;-13.605225;0;E
Sherbro International Airport;Bonthe;Sierra Leone;BTE;GFBN;7.53242;-12.5189;0;N
Inezgane;Agadir;Morocco;AGA;GMAA;30.381353;-9.546311;0;N
Cherif El Idrissi;Al Hociema;Morocco;AHU;GMTA;35.177103;-3.839525;0;N
Atar;Atar;Mauritania;ATR;GQPA;20.506828;-13.043194;0;N
Bole Intl;Addis Ababa;Ethiopia;ADD;HAAB;8.977889;38.799319;3;U
Arba Minch;Arba Minch;Ethiopia;AMH;HAAM;6.039389;37.590453;3;U
Axum;Axum;Ethiopia;AXU;HAAX;14.14675;38.772833;3;U
Baco Airport;Baco;Ethiopia;BCO;HABC;5.78287;36.562;3;U
Bahir Dar;Bahar Dar;Ethiopia;BJR;HABD;11.608075;37.321644;3;U
